route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
8__670___,1_8__670___,1_8__670___-8__670____1_07:20:00_2_e.__1_8__670___,HOSPITAL GENERAL DE VILLALBA,670 COLLADO VILLALBA (Hospital),1,,8__670____2_e._IT_2,0
8__670___,1_8__670___,1_8__670___-8__670____1_08:12:00_1_e.__1_8__670___,ESTACIÓN DE AUTOBUSES DE MORALZARZAL,670 MORALZARZAL (Estación de Autobuses),0,,8__670____1_e._IT_2,0
8__670___,1_8__670___,1_8__670___-8__670____1_08:40:00_2_e.__2_8__670___,HOSPITAL GENERAL DE VILLALBA,670 COLLADO VILLALBA (Hospital),1,,8__670____2_e._IT_2,0
8__670___,1_8__670___,1_8__670___-8__670____1_09:00:00_1_-__2_8__670___,POLIDEPORTIVO MORALZARZAL,670 MORALZARZAL (Polideportivo),0,,8__670____1_-_IT_1,0
8__670___,1_8__670___,1_8__670___-8__670____1_09:25:00_2_-__3_8__670___,HOSPITAL GENERAL DE VILLALBA,670 COLLADO VILLALBA (Hospital),1,,8__670____2_-_IT_1,0
8__670___,1_8__670___,1_8__670___-8__670____1_09:45:00_1_-__3_8__670___,POLIDEPORTIVO MORALZARZAL,670 MORALZARZAL (Polideportivo),0,,8__670____1_-_IT_1,0
8__670___,1_8__670___,1_8__670___-8__670____1_10:40:00_2_-__4_8__670___,HOSPITAL GENERAL DE VILLALBA,670 COLLADO VILLALBA (Hospital),1,,8__670____2_-_IT_1,0
8__670___,1_8__670___,1_8__670___-8__670____1_11:00:00_1_-__4_8__670___,POLIDEPORTIVO MORALZARZAL,670 MORALZARZAL (Polideportivo),0,,8__670____1_-_IT_1,0
8__670___,1_8__670___,1_8__670___-8__670____1_11:40:00_2_-__5_8__670___,HOSPITAL GENERAL DE VILLALBA,670 COLLADO VILLALBA (Hospital),1,,8__670____2_-_IT_1,0
8__670___,1_8__670___,1_8__670___-8__670____1_12:00:00_1_-__5_8__670___,POLIDEPORTIVO MORALZARZAL,670 MORALZARZAL (Polideportivo),0,,8__670____1_-_IT_1,0
8__670___,1_8__670___,1_8__670___-8__670____1_12:40:00_2_-__6_8__670___,HOSPITAL GENERAL DE VILLALBA,670 COLLADO VILLALBA (Hospital),1,,8__670____2_-_IT_1,0
8__670___,1_8__670___,1_8__670___-8__670____1_13:00:00_1_-__6_8__670___,POLIDEPORTIVO MORALZARZAL,670 MORALZARZAL (Polideportivo),0,,8__670____1_-_IT_1,0
